Comment,Designator,Footprint,LCSC
10n 100V,"C45,C47",C_0805_2012Metric,C107135
22n 100V,C48,C_0805_2012Metric,C107137
330p 100V,"C44,C49",C_0805_2012Metric,C113820
1K,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R7,R8,R9",R_0402_1005Metric,C11702
StepperDriver_Conn2,"U1,U19,U21,U27,U29,U3,U7,U9",PinSocket_1x14_P2.54mm_Vertical,C124407
22uF 25V,"C50,C51,C52,C53,C54,C55,C56,C57",C_1206_3216Metric,C12891
USB_B_Micro,J3,USB_Micro-B_Amphenol_10118194_Horizontal,C132563
Fuse,F1,Fuse_Littelfuse_178.6764.0001,C142933
SMBJ51CA,D7,D_SMB,C151265
10nF 50V,"C35,C36",C_0402_1005Metric,C15195
1nF 50V,C38,C_0402_1005Metric,C1523
12p 50V,"C19,C20",C_0402_1005Metric,C1547
47pF 50V,C37,C_0402_1005Metric,C1567
470n 25V,C46,C_0603_1608Metric,C1623
2.2u 100V,"C42,C43",C_1206_3216Metric,C170101
4.7k,R61,R_0805_2012Metric,C17673
49.9k 1%,R53,R_0805_2012Metric,C17719
RP2040,U23,RP2040-QFN-56,C2040
1k,R56,R_0603_1608Metric,C21190
D,D2,D_SMA,C22452
29.4k,R48,R_0402_1005Metric,C226949
9.1k,R55,R_0603_1608Metric,C23260
33,"R4,R5",R_0402_1005Metric,C25105
27,"R43,R44",R_0603_1608Metric,C25190
10k,"R1,R2,R3,R42,R49,R57,R6",R_0402_1005Metric,C25744
330k,R46,R_0402_1005Metric,C25778
3.3k,R50,R_0402_1005Metric,C25890
WSF50P10,Q1,TO-252-2,C2758447
68R,R45,R_0603_1608Metric,C27592
4.7uF 50V,"C33,C34",C_1206_3216Metric,C29823
100n,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23,C25,C27,C28,C29,C3,C30,C31,C32,C39,C4,C5,C58,C6,C7,C8,C9",C_0402_1005Metric,C307331
SW_DIP_x01,"SW1,SW2",TS-1187A-B-A-B,C318884
SW_DIP_x04,SW3,SW_DIP_SPSTx04_Slide_XKB_DSHP04TS-S_W6.35mm_P1.27mm,C319050
SM712_SOT23,D5,SOT-23,C32677
68k,R47,R_0402_1005Metric,C36871
MWSA1004S-330MT,"L1,L2",MWSA1004S-330MT,C408490
20k,R51,R_0805_2012Metric,C4328
1k,"R39,R41,R52",R_1206_3216Metric,C4410
EL0631(TA),"U12,U15,U18,U6",SSOP-8_3.95x5.21x3.27mm_P1.27mm,C465944
VS-6CWQ10FNTR-M3,D4,VS-6CWQ10FNTR-M3,C468124
10 1W,R54,R_2512_6332Metric,C47019
1000uF,"C1,C2",CP_Radial_D16.0mm_P7.50mm,C47881
Conn_01x02_Male,J14,PinHeader_1x02_P2.54mm_Vertical,C492401
1u 25V,"C24,C26",C_0402_1005Metric,C52923
LM5576,U25,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm,C62562
EL357N-G,"U10,U11,U13,U14,U16,U17,U4,U5",SOP254P700X200-4N,C6649
Screw_Terminal_01x04,"J11,J12,J13,Je1","PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",C7245
ZMM5V6,D6,D_MiniMELF,C8062
Screw_Terminal_01x02,"J1,J10,J4,J5","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",C8387
RED LED,"D1,D3",LED_0805_2012Metric,C84256
SP3485EN-L/TR,U26,SOIC-8_3.9x4.9mm_P1.27mm,C8963
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
Conn_02x04_Odd_Even,"J6,J7,J8,J9",IDC-Header_2x04_P2.54mm_Vertical,C9135
47uF 10V,"C40,C41",C_1206_3216Metric,C96123
W25Q128JVS,U22,SOIC-8_5.23x5.23mm_P1.27mm,C97521
tps54331DR,U24,SOIC-8_3.9x4.9mm_P1.27mm,C9865
DNI,R40,C_0402_1005Metric,
120 (DNI),R59,R_1206_3216Metric,
MountingHole,H3,MountingHole_3.2mm_M3_ISO7380,
Conn_01x03_Male,J2,PinHeader_1x03_P2.54mm_Vertical,
DNI,R60,R_0402_1005Metric,
MountingHole,H1,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H2,MountingHole_3.2mm_M3_ISO7380,
MountingHole,H4,MountingHole_3.2mm_M3_ISO7380,
DNI,R58,R_0402_1005Metric,
